Country,Note,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Australia,,0.03,0.03,0.03,0.04,0.05,0.06,0.06,0.06,0.06,0.05,0.06,0.10,0.12,0.14,0.18,0.19,0.19,0.17,0.35,0.38,0.38,0.41,0.42,0.40,0.40,0.38,0.35,0.39,0.47,0.49,0.52,0.54,0.57,0.60,0.66,0.66,0.65,..,..,..
Austria,,0.34,..,..,..,..,0.37,..,..,..,..,0.22,0.23,0.25,0.27,0.28,0.28,0.29,0.31,0.23,0.23,0.27,0.27,0.27,0.28,0.28,0.28,0.29,0.29,0.31,0.38,0.45,0.45,0.47,0.48,0.50,0.51,0.53,0.52,..,..
Belgium,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.04,0.05,0.05,0.48,0.50,0.49,0.59,0.60,0.62,0.61,0.61,0.61,0.61,0.64,0.65,0.67,0.68,0.74,0.77,0.82,0.80,0.82,0.80,..,..
Canada,,..,..,..,..,..,..,..,..,..,..,..,0.10,0.11,0.11,0.11,0.12,0.12,0.11,0.11,0.14,0.14,0.18,0.18,0.19,0.19,0.20,0.21,0.20,0.20,0.22,0.22,0.22,0.23,0.22,0.22,0.24,0.23,0.23,0.23,..
Chile,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.20,0.25,0.24,0.24,0.26,0.28,0.27,0.26,0.30,0.37,0.46,0.43,0.40,0.41,0.45,0.47,0.55,0.61,0.64,0.64,0.62
Colombia,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.41,0.43,0.42,0.40,0.36,0.34,..
Czech Republic,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.30,0.32,0.31,0.29,0.31,0.31,0.30,0.31,0.31,0.30,0.32,0.39,0.39,0.39,0.43,0.45,0.46,0.44,0.41,0.44,..,..
Denmark,,1.10,1.18,1.20,1.13,1.09,1.03,1.03,1.08,1.13,1.12,1.27,1.32,1.37,1.48,1.49,1.46,1.51,1.54,1.37,1.42,1.37,1.38,1.38,1.39,1.33,1.32,1.33,1.37,1.36,1.44,1.37,1.52,1.51,1.47,1.39,1.32,1.27,1.25,..,..
Estonia,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.11,0.12,0.14,0.17,0.19,0.23,0.26,0.25,0.26,0.37,0.34,0.34,0.31,0.34,0.29,0.76,0.75,0.77,0.77,..,..
Finland,,0.57,0.63,0.68,0.73,0.74,0.85,0.89,0.92,0.93,0.99,1.09,1.22,1.17,1.09,1.02,1.01,1.09,1.05,1.02,1.00,0.93,0.89,0.89,0.89,0.88,0.90,0.88,0.87,0.92,1.03,1.03,1.05,1.09,1.11,1.09,1.12,1.10,1.06,..,..
France,,0.16,0.18,0.20,0.22,0.23,0.22,0.21,0.21,0.21,0.22,0.64,0.64,0.63,0.75,0.74,0.73,0.69,0.71,1.35,1.34,1.26,1.21,1.19,1.23,1.27,1.20,1.06,1.09,1.11,1.20,1.21,1.21,1.24,1.31,1.31,1.32,1.31,1.32,1.32,..
Germany,,0.25,0.26,0.24,0.23,0.23,0.23,0.23,0.24,0.25,0.23,0.26,0.34,0.35,0.41,0.40,0.38,0.39,0.40,0.39,0.39,0.33,0.33,0.36,0.37,0.37,0.37,0.37,0.37,0.37,0.44,0.46,0.47,0.53,0.58,0.59,0.60,0.63,0.67,..,..
Greece,,..,..,..,..,..,..,..,..,..,..,0.11,0.11,0.10,0.10,0.12,0.12,0.12,0.13,0.14,0.13,..,..,..,..,..,..,..,..,..,0.01,0.03,0.04,0.31,0.34,0.35,0.34,0.32,0.30,..,..
Hungary,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.63,0.59,0.58,0.61,0.69,0.67,0.68,0.67,0.62,0.63,0.64,0.65,0.62,0.62,0.62,0.75,0.70,0.72,0.68,0.64,..
Iceland,,..,..,..,..,..,..,..,..,..,..,0.49,0.56,0.61,0.58,0.61,0.66,0.69,0.69,0.73,0.77,0.81,0.91,0.99,1.07,1.07,1.13,1.31,1.45,1.49,1.57,1.53,1.52,1.72,1.73,1.84,1.75,1.72,1.81,..,..
Ireland,,0.04,0.04,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.04,..,..,..,..,..,..,..,..,0.24,0.22,0.22,0.23,0.24,0.26,0.28,0.28,0.28,0.30,0.36,0.45,0.48,0.46,0.49,0.46,0.43,0.33,0.33,0.34,..,..
Israel,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.56,0.59,0.60,0.59,0.58,0.56,0.60,0.64,0.60,0.62,0.60,0.61,0.58,0.60,0.65,0.70,0.60,0.62,0.74,0.74,0.74,0.77,0.80,0.80,0.78
Italy,,0.11,0.11,0.11,0.11,0.11,0.11,0.10,0.10,0.10,0.09,0.15,0.15,0.14,0.15,0.16,0.05,0.07,0.06,0.45,0.46,0.48,0.51,0.43,0.48,0.50,0.50,0.55,0.52,0.55,0.55,0.52,0.51,0.53,0.54,0.54,0.56,0.52,0.55,..,..
Japan,,..,..,..,..,..,..,..,0.19,0.18,0.18,0.19,0.19,0.27,0.28,0.23,0.23,0.26,0.25,0.26,0.32,0.29,0.31,0.32,0.32,0.32,0.31,0.31,0.32,0.29,0.31,0.35,0.37,0.38,0.38,0.41,0.56,0.61,0.69,..,..
Korea,,..,..,..,..,..,..,..,..,..,..,0.01,0.02,0.02,0.03,0.03,0.04,0.05,0.05,0.08,0.07,0.08,0.10,0.10,0.12,0.10,0.14,0.23,0.28,0.48,0.57,0.59,0.59,0.72,0.91,0.89,0.90,0.88,0.86,0.90,..
Latvia,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.07,0.07,0.08,0.08,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.69,0.85,0.76,0.74,0.71,0.74,0.80,0.78,0.76,0.78,..,..
Lithuania,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.07,0.08,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.67,0.66,0.61,0.61,0.84,0.79,0.80,0.73,0.73,0.73,0.79,0.76,0.76,..,..
Luxembourg,,0.16,0.19,0.17,0.16,0.17,0.20,0.19,0.21,0.25,0.23,0.03,0.04,0.07,0.08,0.08,0.16,0.20,0.21,0.44,0.47,0.41,0.35,0.38,0.38,0.38,0.39,0.40,0.36,0.56,0.42,0.53,0.51,0.65,0.77,0.73,0.74,0.77,0.83,..,..
Mexico,,..,..,..,..,..,0.28,0.20,0.09,0.05,0.05,0.05,0.04,0.04,0.04,0.03,0.03,0.02,0.02,0.27,0.37,0.41,0.41,0.47,0.61,0.49,0.53,0.55,0.53,0.61,0.56,0.56,0.56,0.54,0.56,0.55,0.56,0.54,0.52,0.50,0.49
Netherlands,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.32,0.32,0.32,0.35,0.37,0.40,0.39,0.43,0.52,0.67,0.77,0.85,0.83,0.81,0.73,0.67,0.62,0.59,0.63,0.64,..,..
New Zealand,,0.00,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.05,0.05,0.25,0.25,0.26,0.28,0.60,0.59,0.57,0.55,0.56,0.57,0.59,0.65,0.68,0.75,0.87,0.98,1.03,1.04,1.01,1.01,1.01,1.02,1.00,0.95,0.94,0.93
Norway,,0.33,..,..,..,..,0.39,..,..,0.57,0.63,0.64,0.71,0.79,0.83,0.84,0.85,0.84,0.80,0.80,0.78,0.69,0.73,0.62,0.69,0.75,0.76,0.83,0.93,0.98,1.19,1.21,1.22,1.21,1.25,1.30,1.33,1.39,1.36,..,..
Poland,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.22,0.21,0.23,0.21,0.21,0.24,0.28,0.28,0.29,0.28,0.43,0.47,0.48,0.51,0.54,0.58,0.61,0.58,0.60,0.46,..,..
Portugal,,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.21,0.27,0.28,0.30,0.31,0.38,0.37,0.37,0.36,0.35,0.35,0.38,0.39,0.37,0.38,0.41,0.42,0.38,0.37,0.38,..,..
Slovak Republic,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.09,0.10,0.07,0.06,0.48,0.42,0.43,0.45,0.47,0.40,0.39,0.38,0.37,0.38,0.42,0.40,0.41,0.43,0.47,0.50,0.49,0.52,0.57,..,..
Slovenia,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.62,0.62,0.62,0.60,0.60,0.59,0.57,0.56,0.53,0.53,0.50,0.47,0.46,0.48,0.49,0.49,0.51,0.52,0.50,0.49,0.47,0.64,..,..
Spain,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.00,0.35,0.34,0.43,0.39,0.39,0.39,0.41,0.43,0.44,0.45,0.49,0.54,0.54,0.54,0.53,0.53,0.51,0.50,0.46,0.45,..,..
Sweden,,1.48,1.55,1.45,1.62,1.66,1.63,1.72,1.67,1.66,1.72,1.89,1.88,1.81,1.55,1.50,1.31,1.40,1.31,1.22,1.21,0.99,1.01,1.12,1.15,1.17,1.22,1.30,1.31,1.41,1.49,1.47,1.48,1.56,1.59,1.59,1.56,1.59,1.58,..,..
Switzerland,,..,..,..,..,..,..,..,..,..,..,0.11,0.12,0.13,0.13,0.13,0.13,0.13,0.13,0.23,0.24,0.25,0.26,0.29,0.29,0.29,0.30,0.29,0.29,0.28,0.30,0.29,0.30,0.32,0.33,0.38,0.51,0.52,0.53,..,..
Turkey,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.03,0.06,0.05,0.06,0.08,0.08,0.08,0.08,0.07,0.10,0.07,0.12,0.14,0.16,0.15,0.14,0.14,0.15,0.15,0.15,0.21,0.22,..,..
United Kingdom,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.00,0.00,0.49,0.60,0.64,0.69,0.72,0.69,0.76,0.75,0.79,0.73,0.71,0.77,0.76,0.77,0.76,0.73,0.59,0.64,0.55,0.56,..,..
United States,,..,..,..,..,..,..,..,..,..,..,..,0.00,0.01,0.00,0.00,0.00,0.00,..,0.36,0.37,0.39,0.40,0.42,0.37,0.35,0.33,0.35,0.36,0.36,0.37,0.38,0.37,0.35,0.33,0.33,0.33,0.33,0.33,0.32,..