country,year,"Weeks of employment-protected parental leave available to mothers, regardless of income support"
Australia,1970,0.00
Australia,1971,0.00
Australia,1972,0.00
Australia,1973,0.00
Australia,1974,0.00
Australia,1975,0.00
Australia,1976,0.00
Australia,1977,0.00
Australia,1978,0.00
Australia,1979,0.00
Australia,1980,0.00
Australia,1981,0.00
Australia,1982,0.00
Australia,1983,0.00
Australia,1984,0.00
Australia,1985,0.00
Australia,1986,0.00
Australia,1987,0.00
Australia,1988,0.00
Australia,1989,0.00
Australia,1990,0.00
Australia,1991,0.00
Australia,1992,0.00
Australia,1993,0.00
Australia,1994,52.00
Australia,1995,52.00
Australia,1996,52.00
Australia,1997,52.00
Australia,1998,52.00
Australia,1999,52.00
Australia,2000,52.00
Australia,2001,52.00
Australia,2002,52.00
Australia,2003,52.00
Australia,2004,52.00
Australia,2005,52.00
Australia,2006,46.00
Australia,2007,46.00
Australia,2008,46.00
Australia,2009,46.00
Australia,2010,46.00
Australia,2011,34.00
Australia,2012,34.00
Australia,2013,34.00
Australia,2014,34.00
Australia,2015,34.00
Australia,2016,34.00
Australia,2017,34.00
Australia,2018,34.00
Australia,2019,34.00
Australia,2020,34.00
Australia,2021,34.00
Austria,1970,46.00
Austria,1971,46.00
Austria,1972,46.00
Austria,1973,46.00
Austria,1974,44.00
Austria,1975,44.00
Austria,1976,44.00
Austria,1977,44.00
Austria,1978,44.00
Austria,1979,44.00
Austria,1980,44.00
Austria,1981,44.00
Austria,1982,44.00
Austria,1983,44.00
Austria,1984,44.00
Austria,1985,44.00
Austria,1986,44.00
Austria,1987,44.00
Austria,1988,44.00
Austria,1989,44.00
Austria,1990,44.00
Austria,1991,96.00
Austria,1992,96.00
Austria,1993,96.00
Austria,1994,96.00
Austria,1995,96.00
Austria,1996,96.00
Austria,1997,70.00
Austria,1998,70.00
Austria,1999,70.00
Austria,2000,70.00
Austria,2001,70.00
Austria,2002,70.00
Austria,2003,70.00
Austria,2004,70.00
Austria,2005,70.00
Austria,2006,70.00
Austria,2007,70.00
Austria,2008,83.00
Austria,2009,83.00
Austria,2010,87.33
Austria,2011,87.33
Austria,2012,87.33
Austria,2013,87.33
Austria,2014,87.33
Austria,2015,87.33
Austria,2016,87.33
Austria,2017,87.33
Austria,2018,87.33
Austria,2019,87.33
Austria,2020,87.33
Austria,2021,87.33
Belgium,1970,0.00
Belgium,1971,0.00
Belgium,1972,0.00
Belgium,1973,0.00
Belgium,1974,0.00
Belgium,1975,0.00
Belgium,1976,0.00
Belgium,1977,0.00
Belgium,1978,0.00
Belgium,1979,0.00
Belgium,1980,0.00
Belgium,1981,0.00
Belgium,1982,0.00
Belgium,1983,0.00
Belgium,1984,0.00
Belgium,1985,0.00
Belgium,1986,0.00
Belgium,1987,0.00
Belgium,1988,0.00
Belgium,1989,0.00
Belgium,1990,0.00
Belgium,1991,0.00
Belgium,1992,0.00
Belgium,1993,0.00
Belgium,1994,0.00
Belgium,1995,0.00
Belgium,1996,0.00
Belgium,1997,0.00
Belgium,1998,13.00
Belgium,1999,13.00
Belgium,2000,13.00
Belgium,2001,13.00
Belgium,2002,13.00
Belgium,2003,13.00
Belgium,2004,13.00
Belgium,2005,13.00
Belgium,2006,13.00
Belgium,2007,13.00
Belgium,2008,13.00
Belgium,2009,13.00
Belgium,2010,13.00
Belgium,2011,13.00
Belgium,2012,17.33
Belgium,2013,17.33
Belgium,2014,17.33
Belgium,2015,17.33
Belgium,2016,17.33
Belgium,2017,17.33
Belgium,2018,17.33
Belgium,2019,17.33
Belgium,2020,17.33
Belgium,2021,17.33
Canada,1970,0.00
Canada,1971,0.00
Canada,1972,0.00
Canada,1973,0.00
Canada,1974,0.00
Canada,1975,0.00
Canada,1976,0.00
Canada,1977,0.00
Canada,1978,0.00
Canada,1979,0.00
Canada,1980,0.00
Canada,1981,0.00
Canada,1982,0.00
Canada,1983,0.00
Canada,1984,0.00
Canada,1985,0.00
Canada,1986,0.00
Canada,1987,0.00
Canada,1988,0.00
Canada,1989,0.00
Canada,1990,0.00
Canada,1991,10.00
Canada,1992,10.00
Canada,1993,10.00
Canada,1994,10.00
Canada,1995,10.00
Canada,1996,10.00
Canada,1997,10.00
Canada,1998,10.00
Canada,1999,10.00
Canada,2000,10.00
Canada,2001,35.00
Canada,2002,35.00
Canada,2003,35.00
Canada,2004,35.00
Canada,2005,35.00
Canada,2006,35.00
Canada,2007,35.00
Canada,2008,35.00
Canada,2009,35.00
Canada,2010,35.00
Canada,2011,35.00
Canada,2012,35.00
Canada,2013,35.00
Canada,2014,35.00
Canada,2015,35.00
Canada,2016,35.00
Canada,2017,35.00
Canada,2018,61.00
Canada,2019,61.00
Canada,2020,61.00
Canada,2021,61.00
Chile,1970,0.00
Chile,1971,0.00
Chile,1972,0.00
Chile,1973,0.00
Chile,1974,0.00
Chile,1975,0.00
Chile,1976,0.00
Chile,1977,0.00
Chile,1978,0.00
Chile,1979,0.00
Chile,1980,0.00
Chile,1981,0.00
Chile,1982,0.00
Chile,1983,0.00
Chile,1984,0.00
Chile,1985,0.00
Chile,1986,0.00
Chile,1987,0.00
Chile,1988,0.00
Chile,1989,0.00
Chile,1990,0.00
Chile,1991,0.00
Chile,1992,0.00
Chile,1993,0.00
Chile,1994,0.00
Chile,1995,0.00
Chile,1996,0.00
Chile,1997,0.00
Chile,1998,0.00
Chile,1999,0.00
Chile,2000,0.00
Chile,2001,0.00
Chile,2002,0.00
Chile,2003,0.00
Chile,2004,0.00
Chile,2005,0.00
Chile,2006,0.00
Chile,2007,0.00
Chile,2008,0.00
Chile,2009,0.00
Chile,2010,0.00
Chile,2011,0.00
Chile,2012,12.00
Chile,2013,12.00
Chile,2014,12.00
Chile,2015,12.00
Chile,2016,12.00
Chile,2017,12.00
Chile,2018,12.00
Chile,2019,12.00
Chile,2020,12.00
Chile,2021,12.00
Colombia,1970,..
Colombia,1971,..
Colombia,1972,..
Colombia,1973,..
Colombia,1974,..
Colombia,1975,..
Colombia,1976,..
Colombia,1977,..
Colombia,1978,..
Colombia,1979,..
Colombia,1980,..
Colombia,1981,..
Colombia,1982,..
Colombia,1983,..
Colombia,1984,..
Colombia,1985,..
Colombia,1986,..
Colombia,1987,..
Colombia,1988,..
Colombia,1989,..
Colombia,1990,..
Colombia,1991,..
Colombia,1992,..
Colombia,1993,..
Colombia,1994,..
Colombia,1995,..
Colombia,1996,0.00
Colombia,1997,0.00
Colombia,1998,0.00
Colombia,1999,0.00
Colombia,2000,0.00
Colombia,2001,0.00
Colombia,2002,0.00
Colombia,2003,0.00
Colombia,2004,0.00
Colombia,2005,0.00
Colombia,2006,0.00
Colombia,2007,0.00
Colombia,2008,0.00
Colombia,2009,0.00
Colombia,2010,0.00
Colombia,2011,0.00
Colombia,2012,0.00
Colombia,2013,0.00
Colombia,2014,0.00
Colombia,2015,0.00
Colombia,2016,0.00
Colombia,2017,0.00
Colombia,2018,0.00
Colombia,2019,0.00
Colombia,2020,0.00
Colombia,2021,0.00
Costa Rica,1970,0.00
Costa Rica,1971,0.00
Costa Rica,1972,0.00
Costa Rica,1973,0.00
Costa Rica,1974,0.00
Costa Rica,1975,0.00
Costa Rica,1976,0.00
Costa Rica,1977,0.00
Costa Rica,1978,0.00
Costa Rica,1979,0.00
Costa Rica,1980,0.00
Costa Rica,1981,0.00
Costa Rica,1982,0.00
Costa Rica,1983,0.00
Costa Rica,1984,0.00
Costa Rica,1985,0.00
Costa Rica,1986,0.00
Costa Rica,1987,0.00
Costa Rica,1988,0.00
Costa Rica,1989,0.00
Costa Rica,1990,0.00
Costa Rica,1991,0.00
Costa Rica,1992,0.00
Costa Rica,1993,0.00
Costa Rica,1994,0.00
Costa Rica,1995,0.00
Costa Rica,1996,0.00
Costa Rica,1997,0.00
Costa Rica,1998,0.00
Costa Rica,1999,0.00
Costa Rica,2000,0.00
Costa Rica,2001,0.00
Costa Rica,2002,0.00
Costa Rica,2003,0.00
Costa Rica,2004,0.00
Costa Rica,2005,0.00
Costa Rica,2006,0.00
Costa Rica,2007,0.00
Costa Rica,2008,0.00
Costa Rica,2009,0.00
Costa Rica,2010,0.00
Costa Rica,2011,0.00
Costa Rica,2012,0.00
Costa Rica,2013,0.00
Costa Rica,2014,0.00
Costa Rica,2015,0.00
Costa Rica,2016,0.00
Costa Rica,2017,0.00
Costa Rica,2018,0.00
Costa Rica,2019,0.00
Costa Rica,2020,0.00
Costa Rica,2021,0.00
Czech Republic,1970,86.00
Czech Republic,1971,86.00
Czech Republic,1972,86.00
Czech Republic,1973,86.00
Czech Republic,1974,86.00
Czech Republic,1975,86.00
Czech Republic,1976,86.00
Czech Republic,1977,86.00
Czech Republic,1978,86.00
Czech Republic,1979,86.00
Czech Republic,1980,86.00
Czech Republic,1981,86.00
Czech Republic,1982,86.00
Czech Republic,1983,86.00
Czech Republic,1984,86.00
Czech Republic,1985,86.00
Czech Republic,1986,86.00
Czech Republic,1987,86.00
Czech Republic,1988,136.00
Czech Republic,1989,136.00
Czech Republic,1990,136.00
Czech Republic,1991,136.00
Czech Republic,1992,136.00
Czech Republic,1993,136.00
Czech Republic,1994,136.00
Czech Republic,1995,136.00
Czech Republic,1996,136.00
Czech Republic,1997,136.00
Czech Republic,1998,136.00
Czech Republic,1999,136.00
Czech Republic,2000,136.00
Czech Republic,2001,136.00
Czech Republic,2002,136.00
Czech Republic,2003,136.00
Czech Republic,2004,136.00
Czech Republic,2005,136.00
Czech Republic,2006,136.00
Czech Republic,2007,136.00
Czech Republic,2008,136.00
Czech Republic,2009,136.00
Czech Republic,2010,136.00
Czech Republic,2011,136.00
Czech Republic,2012,136.00
Czech Republic,2013,136.00
Czech Republic,2014,136.00
Czech Republic,2015,136.00
Czech Republic,2016,136.00
Czech Republic,2017,136.00
Czech Republic,2018,136.00
Czech Republic,2019,136.00
Czech Republic,2020,136.00
Czech Republic,2021,136.00
Denmark,1970,0.00
Denmark,1971,0.00
Denmark,1972,0.00
Denmark,1973,0.00
Denmark,1974,0.00
Denmark,1975,0.00
Denmark,1976,0.00
Denmark,1977,0.00
Denmark,1978,0.00
Denmark,1979,0.00
Denmark,1980,0.00
Denmark,1981,0.00
Denmark,1982,0.00
Denmark,1983,0.00
Denmark,1984,0.00
Denmark,1985,0.00
Denmark,1986,0.00
Denmark,1987,0.00
Denmark,1988,0.00
Denmark,1989,10.00
Denmark,1990,10.00
Denmark,1991,10.00
Denmark,1992,10.00
Denmark,1993,10.00
Denmark,1994,10.00
Denmark,1995,10.00
Denmark,1996,10.00
Denmark,1997,10.00
Denmark,1998,10.00
Denmark,1999,10.00
Denmark,2000,10.00
Denmark,2001,10.00
Denmark,2002,32.00
Denmark,2003,32.00
Denmark,2004,32.00
Denmark,2005,32.00
Denmark,2006,32.00
Denmark,2007,32.00
Denmark,2008,32.00
Denmark,2009,32.00
Denmark,2010,32.00
Denmark,2011,32.00
Denmark,2012,32.00
Denmark,2013,32.00
Denmark,2014,32.00
Denmark,2015,32.00
Denmark,2016,32.00
Denmark,2017,32.00
Denmark,2018,32.00
Denmark,2019,32.00
Denmark,2020,32.00
Denmark,2021,32.00
Estonia,1970,..
Estonia,1971,..
Estonia,1972,..
Estonia,1973,..
Estonia,1974,..
Estonia,1975,..
Estonia,1976,..
Estonia,1977,..
Estonia,1978,..
Estonia,1979,..
Estonia,1980,..
Estonia,1981,..
Estonia,1982,..
Estonia,1983,..
Estonia,1984,..
Estonia,1985,..
Estonia,1986,..
Estonia,1987,..
Estonia,1988,..
Estonia,1989,..
Estonia,1990,..
Estonia,1991,..
Estonia,1992,..
Estonia,1993,..
Estonia,1994,..
Estonia,1995,..
Estonia,1996,..
Estonia,1997,..
Estonia,1998,..
Estonia,1999,..
Estonia,2000,..
Estonia,2001,..
Estonia,2002,..
Estonia,2003,..
Estonia,2004,146.00
Estonia,2005,146.00
Estonia,2006,146.00
Estonia,2007,146.00
Estonia,2008,146.00
Estonia,2009,146.00
Estonia,2010,146.00
Estonia,2011,146.00
Estonia,2012,146.00
Estonia,2013,146.00
Estonia,2014,146.00
Estonia,2015,146.00
Estonia,2016,146.00
Estonia,2017,146.00
Estonia,2018,146.00
Estonia,2019,146.00
Estonia,2020,146.00
Estonia,2021,146.00
Finland,1970,0.00
Finland,1971,0.00
Finland,1972,0.00
Finland,1973,0.00
Finland,1974,0.00
Finland,1975,0.00
Finland,1976,0.00
Finland,1977,0.00
Finland,1978,0.00
Finland,1979,0.00
Finland,1980,4.00
Finland,1981,8.00
Finland,1982,16.67
Finland,1983,16.67
Finland,1984,16.67
Finland,1985,26.33
Finland,1986,26.33
Finland,1987,26.33
Finland,1988,26.33
Finland,1989,26.33
Finland,1990,26.33
Finland,1991,26.33
Finland,1992,26.33
Finland,1993,26.33
Finland,1994,26.33
Finland,1995,26.33
Finland,1996,26.33
Finland,1997,26.33
Finland,1998,26.33
Finland,1999,26.33
Finland,2000,26.33
Finland,2001,26.33
Finland,2002,26.33
Finland,2003,24.30
Finland,2004,24.30
Finland,2005,24.30
Finland,2006,24.30
Finland,2007,24.30
Finland,2008,24.30
Finland,2009,24.30
Finland,2010,24.30
Finland,2011,24.30
Finland,2012,24.30
Finland,2013,26.33
Finland,2014,26.33
Finland,2015,26.33
Finland,2016,26.33
Finland,2017,26.33
Finland,2018,26.33
Finland,2019,26.33
Finland,2020,26.33
Finland,2021,26.33
France,1970,0.00
France,1971,0.00
France,1972,0.00
France,1973,0.00
France,1974,0.00
France,1975,0.00
France,1976,0.00
France,1977,0.00
France,1978,96.00
France,1979,96.00
France,1980,96.00
France,1981,96.00
France,1982,96.00
France,1983,96.00
France,1984,96.00
France,1985,96.00
France,1986,146.00
France,1987,146.00
France,1988,146.00
France,1989,146.00
France,1990,146.00
France,1991,146.00
France,1992,146.00
France,1993,146.00
France,1994,146.00
France,1995,146.00
France,1996,146.00
France,1997,146.00
France,1998,146.00
France,1999,146.00
France,2000,146.00
France,2001,146.00
France,2002,146.00
France,2003,146.00
France,2004,146.00
France,2005,146.00
France,2006,146.00
France,2007,146.00
France,2008,146.00
France,2009,146.00
France,2010,146.00
France,2011,146.00
France,2012,146.00
France,2013,146.00
France,2014,146.00
France,2015,146.00
France,2016,146.00
France,2017,146.00
France,2018,146.00
France,2019,146.00
France,2020,146.00
France,2021,146.00
Germany,1970,0.00
Germany,1971,0.00
Germany,1972,0.00
Germany,1973,0.00
Germany,1974,0.00
Germany,1975,0.00
Germany,1976,0.00
Germany,1977,0.00
Germany,1978,0.00
Germany,1979,0.00
Germany,1980,0.00
Germany,1981,0.00
Germany,1982,0.00
Germany,1983,0.00
Germany,1984,0.00
Germany,1985,0.00
Germany,1986,35.00
Germany,1987,35.00
Germany,1988,43.00
Germany,1989,43.00
Germany,1990,56.33
Germany,1991,69.33
Germany,1992,148.00
Germany,1993,148.00
Germany,1994,148.00
Germany,1995,148.00
Germany,1996,148.00
Germany,1997,148.00
Germany,1998,148.00
Germany,1999,148.00
Germany,2000,148.00
Germany,2001,148.00
Germany,2002,148.00
Germany,2003,148.00
Germany,2004,148.00
Germany,2005,148.00
Germany,2006,148.00
Germany,2007,148.00
Germany,2008,148.00
Germany,2009,148.00
Germany,2010,148.00
Germany,2011,148.00
Germany,2012,148.00
Germany,2013,148.00
Germany,2014,148.00
Germany,2015,148.00
Germany,2016,148.00
Germany,2017,148.00
Germany,2018,148.00
Germany,2019,148.00
Germany,2020,148.00
Germany,2021,148.00
Greece,1970,0.00
Greece,1971,0.00
Greece,1972,0.00
Greece,1973,0.00
Greece,1974,0.00
Greece,1975,0.00
Greece,1976,0.00
Greece,1977,0.00
Greece,1978,0.00
Greece,1979,0.00
Greece,1980,0.00
Greece,1981,0.00
Greece,1982,0.00
Greece,1983,0.00
Greece,1984,0.00
Greece,1985,13.00
Greece,1986,13.00
Greece,1987,13.00
Greece,1988,13.00
Greece,1989,13.00
Greece,1990,13.00
Greece,1991,13.00
Greece,1992,13.00
Greece,1993,15.17
Greece,1994,15.17
Greece,1995,15.17
Greece,1996,15.17
Greece,1997,15.17
Greece,1998,15.17
Greece,1999,15.17
Greece,2000,15.17
Greece,2001,15.17
Greece,2002,15.17
Greece,2003,15.17
Greece,2004,15.17
Greece,2005,15.17
Greece,2006,15.17
Greece,2007,15.17
Greece,2008,15.17
Greece,2009,15.17
Greece,2010,15.17
Greece,2011,15.17
Greece,2012,17.33
Greece,2013,17.33
Greece,2014,17.33
Greece,2015,17.33
Greece,2016,17.33
Greece,2017,17.33
Greece,2018,17.33
Greece,2019,17.33
Greece,2020,17.33
Greece,2021,17.33
Hungary,1970,0.00
Hungary,1971,0.00
Hungary,1972,0.00
Hungary,1973,0.00
Hungary,1974,0.00
Hungary,1975,0.00
Hungary,1976,0.00
Hungary,1977,0.00
Hungary,1978,0.00
Hungary,1979,0.00
Hungary,1980,0.00
Hungary,1981,0.00
Hungary,1982,0.00
Hungary,1983,0.00
Hungary,1984,0.00
Hungary,1985,46.00
Hungary,1986,72.00
Hungary,1987,72.00
Hungary,1988,98.00
Hungary,1989,98.00
Hungary,1990,98.00
Hungary,1991,98.00
Hungary,1992,84.00
Hungary,1993,84.00
Hungary,1994,84.00
Hungary,1995,84.00
Hungary,1996,0.00
Hungary,1997,0.00
Hungary,1998,0.00
Hungary,1999,84.00
Hungary,2000,84.00
Hungary,2001,84.00
Hungary,2002,84.00
Hungary,2003,84.00
Hungary,2004,84.00
Hungary,2005,84.00
Hungary,2006,84.00
Hungary,2007,84.00
Hungary,2008,84.00
Hungary,2009,84.00
Hungary,2010,84.00
Hungary,2011,84.00
Hungary,2012,84.00
Hungary,2013,84.00
Hungary,2014,84.00
Hungary,2015,84.00
Hungary,2016,84.00
Hungary,2017,84.00
Hungary,2018,84.00
Hungary,2019,84.00
Hungary,2020,84.00
Hungary,2021,84.00
Iceland,1970,0.00
Iceland,1971,0.00
Iceland,1972,0.00
Iceland,1973,0.00
Iceland,1974,0.00
Iceland,1975,0.00
Iceland,1976,0.00
Iceland,1977,0.00
Iceland,1978,0.00
Iceland,1979,0.00
Iceland,1980,0.00
Iceland,1981,4.33
Iceland,1982,4.33
Iceland,1983,4.33
Iceland,1984,4.33
Iceland,1985,4.33
Iceland,1986,4.33
Iceland,1987,4.33
Iceland,1988,8.67
Iceland,1989,13.00
Iceland,1990,17.33
Iceland,1991,17.33
Iceland,1992,17.33
Iceland,1993,17.33
Iceland,1994,17.33
Iceland,1995,17.33
Iceland,1996,17.33
Iceland,1997,17.33
Iceland,1998,17.33
Iceland,1999,17.33
Iceland,2000,17.30
Iceland,2001,26.00
Iceland,2002,26.00
Iceland,2003,26.00
Iceland,2004,26.00
Iceland,2005,26.00
Iceland,2006,26.00
Iceland,2007,26.00
Iceland,2008,26.00
Iceland,2009,26.00
Iceland,2010,26.00
Iceland,2011,26.00
Iceland,2012,26.00
Iceland,2013,26.00
Iceland,2014,30.30
Iceland,2015,30.30
Iceland,2016,30.30
Iceland,2017,30.30
Iceland,2018,30.30
Iceland,2019,30.32
Iceland,2020,30.32
Iceland,2021,30.32
Ireland,1970,0.00
Ireland,1971,0.00
Ireland,1972,0.00
Ireland,1973,0.00
Ireland,1974,0.00
Ireland,1975,0.00
Ireland,1976,0.00
Ireland,1977,0.00
Ireland,1978,0.00
Ireland,1979,0.00
Ireland,1980,0.00
Ireland,1981,0.00
Ireland,1982,0.00
Ireland,1983,0.00
Ireland,1984,0.00
Ireland,1985,0.00
Ireland,1986,0.00
Ireland,1987,0.00
Ireland,1988,0.00
Ireland,1989,0.00
Ireland,1990,0.00
Ireland,1991,0.00
Ireland,1992,0.00
Ireland,1993,0.00
Ireland,1994,0.00
Ireland,1995,0.00
Ireland,1996,0.00
Ireland,1997,0.00
Ireland,1998,0.00
Ireland,1999,14.00
Ireland,2000,14.00
Ireland,2001,14.00
Ireland,2002,14.00
Ireland,2003,14.00
Ireland,2004,14.00
Ireland,2005,14.00
Ireland,2006,14.00
Ireland,2007,14.00
Ireland,2008,14.00
Ireland,2009,14.00
Ireland,2010,14.00
Ireland,2011,14.00
Ireland,2012,14.00
Ireland,2013,18.00
Ireland,2014,18.00
Ireland,2015,18.00
Ireland,2016,18.00
Ireland,2017,18.00
Ireland,2018,18.00
Ireland,2019,18.00
Ireland,2020,22.00
Ireland,2021,26.00
Israel,1970,52.00
Israel,1971,52.00
Israel,1972,52.00
Israel,1973,52.00
Israel,1974,52.00
Israel,1975,52.00
Israel,1976,52.00
Israel,1977,52.00
Israel,1978,52.00
Israel,1979,52.00
Israel,1980,52.00
Israel,1981,52.00
Israel,1982,52.00
Israel,1983,52.00
Israel,1984,52.00
Israel,1985,52.00
Israel,1986,52.00
Israel,1987,52.00
Israel,1988,52.00
Israel,1989,52.00
Israel,1990,52.00
Israel,1991,52.00
Israel,1992,52.00
Israel,1993,52.00
Israel,1994,52.00
Israel,1995,52.00
Israel,1996,52.00
Israel,1997,52.00
Israel,1998,52.00
Israel,1999,52.00
Israel,2000,52.00
Israel,2001,52.00
Israel,2002,52.00
Israel,2003,52.00
Israel,2004,52.00
Israel,2005,52.00
Israel,2006,52.00
Israel,2007,52.00
Israel,2008,52.00
Israel,2009,52.00
Israel,2010,32.00
Israel,2011,32.00
Israel,2012,32.00
Israel,2013,32.00
Israel,2014,32.00
Israel,2015,32.00
Israel,2016,32.00
Israel,2017,32.00
Israel,2018,32.00
Israel,2019,32.00
Israel,2020,32.00
Israel,2021,32.00
Italy,1970,26.00
Italy,1971,26.00
Italy,1972,26.00
Italy,1973,26.00
Italy,1974,26.00
Italy,1975,26.00
Italy,1976,26.00
Italy,1977,26.00
Italy,1978,26.00
Italy,1979,26.00
Italy,1980,26.00
Italy,1981,26.00
Italy,1982,26.00
Italy,1983,26.00
Italy,1984,26.00
Italy,1985,26.00
Italy,1986,26.00
Italy,1987,26.00
Italy,1988,26.00
Italy,1989,26.00
Italy,1990,26.00
Italy,1991,26.00
Italy,1992,26.00
Italy,1993,26.00
Italy,1994,26.00
Italy,1995,26.00
Italy,1996,26.00
Italy,1997,26.00
Italy,1998,26.00
Italy,1999,26.00
Italy,2000,26.00
Italy,2001,26.00
Italy,2002,26.00
Italy,2003,26.00
Italy,2004,26.00
Italy,2005,26.00
Italy,2006,26.00
Italy,2007,26.00
Italy,2008,26.00
Italy,2009,26.00
Italy,2010,26.00
Italy,2011,26.00
Italy,2012,26.00
Italy,2013,26.00
Italy,2014,26.00
Italy,2015,26.00
Italy,2016,26.00
Italy,2017,26.00
Italy,2018,26.00
Italy,2019,26.00
Italy,2020,26.00
Italy,2021,26.00
Japan,1970,0.00
Japan,1971,0.00
Japan,1972,0.00
Japan,1973,0.00
Japan,1974,0.00
Japan,1975,0.00
Japan,1976,0.00
Japan,1977,0.00
Japan,1978,0.00
Japan,1979,0.00
Japan,1980,0.00
Japan,1981,0.00
Japan,1982,0.00
Japan,1983,0.00
Japan,1984,0.00
Japan,1985,0.00
Japan,1986,0.00
Japan,1987,0.00
Japan,1988,0.00
Japan,1989,0.00
Japan,1990,0.00
Japan,1991,0.00
Japan,1992,44.00
Japan,1993,44.00
