country,year,"Weeks of employment-protected parental leave available to mothers, regardless of income support"
Japan,1994,44.00
Japan,1995,44.00
Japan,1996,44.00
Japan,1997,44.00
Japan,1998,44.00
Japan,1999,44.00
Japan,2000,44.00
Japan,2001,44.00
Japan,2002,44.00
Japan,2003,44.00
Japan,2004,44.00
Japan,2005,44.00
Japan,2006,44.00
Japan,2007,44.00
Japan,2008,44.00
Japan,2009,44.00
Japan,2010,44.00
Japan,2011,44.00
Japan,2012,44.00
Japan,2013,44.00
Japan,2014,44.00
Japan,2015,44.00
Japan,2016,44.00
Japan,2017,44.00
Japan,2018,44.00
Japan,2019,44.00
Japan,2020,44.00
Japan,2021,44.00
Korea,1970,0.00
Korea,1971,0.00
Korea,1972,0.00
Korea,1973,0.00
Korea,1974,0.00
Korea,1975,0.00
Korea,1976,0.00
Korea,1977,0.00
Korea,1978,0.00
Korea,1979,0.00
Korea,1980,0.00
Korea,1981,0.00
Korea,1982,0.00
Korea,1983,0.00
Korea,1984,0.00
Korea,1985,0.00
Korea,1986,0.00
Korea,1987,0.00
Korea,1988,47.75
Korea,1989,47.75
Korea,1990,47.75
Korea,1991,47.75
Korea,1992,47.75
Korea,1993,47.75
Korea,1994,47.75
Korea,1995,47.75
Korea,1996,47.75
Korea,1997,47.75
Korea,1998,47.75
Korea,1999,47.75
Korea,2000,47.75
Korea,2001,47.75
Korea,2002,45.57
Korea,2003,45.57
Korea,2004,45.57
Korea,2005,45.57
Korea,2006,45.57
Korea,2007,45.57
Korea,2008,52.00
Korea,2009,52.00
Korea,2010,52.00
Korea,2011,52.00
Korea,2012,52.00
Korea,2013,52.00
Korea,2014,52.00
Korea,2015,52.00
Korea,2016,52.00
Korea,2017,52.00
Korea,2018,52.00
Korea,2019,52.00
Korea,2020,52.00
Korea,2021,52.00
Latvia,1970,..
Latvia,1971,..
Latvia,1972,..
Latvia,1973,..
Latvia,1974,..
Latvia,1975,..
Latvia,1976,..
Latvia,1977,..
Latvia,1978,..
Latvia,1979,..
Latvia,1980,..
Latvia,1981,..
Latvia,1982,..
Latvia,1983,..
Latvia,1984,..
Latvia,1985,..
Latvia,1986,..
Latvia,1987,..
Latvia,1988,..
Latvia,1989,..
Latvia,1990,..
Latvia,1991,..
Latvia,1992,..
Latvia,1993,..
Latvia,1994,..
Latvia,1995,..
Latvia,1996,..
Latvia,1997,..
Latvia,1998,..
Latvia,1999,..
Latvia,2000,..
Latvia,2001,..
Latvia,2002,..
Latvia,2003,..
Latvia,2004,..
Latvia,2005,..
Latvia,2006,..
Latvia,2007,..
Latvia,2008,..
Latvia,2009,..
Latvia,2010,..
Latvia,2011,..
Latvia,2012,..
Latvia,2013,..
Latvia,2014,78.00
Latvia,2015,78.00
Latvia,2016,78.00
Latvia,2017,78.00
Latvia,2018,78.00
Latvia,2019,78.00
Latvia,2020,78.00
Latvia,2021,78.00
Lithuania,1970,..
Lithuania,1971,..
Lithuania,1972,..
Lithuania,1973,..
Lithuania,1974,..
Lithuania,1975,..
Lithuania,1976,..
Lithuania,1977,..
Lithuania,1978,..
Lithuania,1979,..
Lithuania,1980,..
Lithuania,1981,..
Lithuania,1982,..
Lithuania,1983,..
Lithuania,1984,..
Lithuania,1985,..
Lithuania,1986,..
Lithuania,1987,..
Lithuania,1988,..
Lithuania,1989,..
Lithuania,1990,..
Lithuania,1991,..
Lithuania,1992,..
Lithuania,1993,..
Lithuania,1994,..
Lithuania,1995,..
Lithuania,1996,..
Lithuania,1997,..
Lithuania,1998,..
Lithuania,1999,..
Lithuania,2000,..
Lithuania,2001,..
Lithuania,2002,..
Lithuania,2003,..
Lithuania,2004,..
Lithuania,2005,..
Lithuania,2006,..
Lithuania,2007,..
Lithuania,2008,..
Lithuania,2009,..
Lithuania,2010,..
Lithuania,2011,..
Lithuania,2012,..
Lithuania,2013,..
Lithuania,2014,148.00
Lithuania,2015,148.00
Lithuania,2016,148.00
Lithuania,2017,148.00
Lithuania,2018,148.00
Lithuania,2019,148.00
Lithuania,2020,148.00
Lithuania,2021,148.00
Luxembourg,1970,0.00
Luxembourg,1971,0.00
Luxembourg,1972,0.00
Luxembourg,1973,0.00
Luxembourg,1974,0.00
Luxembourg,1975,0.00
Luxembourg,1976,0.00
Luxembourg,1977,0.00
Luxembourg,1978,0.00
Luxembourg,1979,0.00
Luxembourg,1980,0.00
Luxembourg,1981,0.00
Luxembourg,1982,0.00
Luxembourg,1983,0.00
Luxembourg,1984,0.00
Luxembourg,1985,0.00
Luxembourg,1986,0.00
Luxembourg,1987,0.00
Luxembourg,1988,0.00
Luxembourg,1989,0.00
Luxembourg,1990,0.00
Luxembourg,1991,0.00
Luxembourg,1992,0.00
Luxembourg,1993,0.00
Luxembourg,1994,0.00
Luxembourg,1995,0.00
Luxembourg,1996,0.00
Luxembourg,1997,0.00
Luxembourg,1998,0.00
Luxembourg,1999,26.00
Luxembourg,2000,26.00
Luxembourg,2001,26.00
Luxembourg,2002,26.00
Luxembourg,2003,26.00
Luxembourg,2004,26.00
Luxembourg,2005,26.00
Luxembourg,2006,26.00
Luxembourg,2007,26.00
Luxembourg,2008,26.00
Luxembourg,2009,26.00
Luxembourg,2010,26.00
Luxembourg,2011,26.00
Luxembourg,2012,26.00
Luxembourg,2013,26.00
Luxembourg,2014,26.00
Luxembourg,2015,26.00
Luxembourg,2016,26.00
Luxembourg,2017,26.00
Luxembourg,2018,26.00
Luxembourg,2019,26.00
Luxembourg,2020,26.00
Luxembourg,2021,26.00
Mexico,1970,0.00
Mexico,1971,0.00
Mexico,1972,0.00
Mexico,1973,0.00
Mexico,1974,0.00
Mexico,1975,0.00
Mexico,1976,0.00
Mexico,1977,0.00
Mexico,1978,0.00
Mexico,1979,0.00
Mexico,1980,0.00
Mexico,1981,0.00
Mexico,1982,0.00
Mexico,1983,0.00
Mexico,1984,0.00
Mexico,1985,0.00
Mexico,1986,0.00
Mexico,1987,0.00
Mexico,1988,0.00
Mexico,1989,0.00
Mexico,1990,0.00
Mexico,1991,0.00
Mexico,1992,0.00
Mexico,1993,0.00
Mexico,1994,0.00
Mexico,1995,0.00
Mexico,1996,0.00
Mexico,1997,0.00
Mexico,1998,0.00
Mexico,1999,0.00
Mexico,2000,0.00
Mexico,2001,0.00
Mexico,2002,0.00
Mexico,2003,0.00
Mexico,2004,0.00
Mexico,2005,0.00
Mexico,2006,0.00
Mexico,2007,0.00
Mexico,2008,0.00
Mexico,2009,0.00
Mexico,2010,0.00
Mexico,2011,0.00
Mexico,2012,0.00
Mexico,2013,0.00
Mexico,2014,0.00
Mexico,2015,0.00
Mexico,2016,0.00
Mexico,2017,0.00
Mexico,2018,0.00
Mexico,2019,0.00
Mexico,2020,0.00
Mexico,2021,0.00
Netherlands,1970,0.00
Netherlands,1971,0.00
Netherlands,1972,0.00
Netherlands,1973,0.00
Netherlands,1974,0.00
Netherlands,1975,0.00
Netherlands,1976,0.00
Netherlands,1977,0.00
Netherlands,1978,0.00
Netherlands,1979,0.00
Netherlands,1980,0.00
Netherlands,1981,0.00
Netherlands,1982,0.00
Netherlands,1983,0.00
Netherlands,1984,0.00
Netherlands,1985,0.00
Netherlands,1986,0.00
Netherlands,1987,0.00
Netherlands,1988,0.00
Netherlands,1989,0.00
Netherlands,1990,0.00
Netherlands,1991,13.00
Netherlands,1992,13.00
Netherlands,1993,13.00
Netherlands,1994,13.00
Netherlands,1995,13.00
Netherlands,1996,13.00
Netherlands,1997,13.00
Netherlands,1998,13.00
Netherlands,1999,13.00
Netherlands,2000,13.00
Netherlands,2001,13.00
Netherlands,2002,13.00
Netherlands,2003,13.00
Netherlands,2004,13.00
Netherlands,2005,13.00
Netherlands,2006,13.00
Netherlands,2007,13.00
Netherlands,2008,13.00
Netherlands,2009,26.00
Netherlands,2010,26.00
Netherlands,2011,26.00
Netherlands,2012,26.00
Netherlands,2013,26.00
Netherlands,2014,26.00
Netherlands,2015,26.00
Netherlands,2016,26.00
Netherlands,2017,26.00
Netherlands,2018,26.00
Netherlands,2019,26.00
Netherlands,2020,26.00
Netherlands,2021,26.00
New Zealand,1970,0.00
New Zealand,1971,0.00
New Zealand,1972,0.00
New Zealand,1973,0.00
New Zealand,1974,0.00
New Zealand,1975,0.00
New Zealand,1976,0.00
New Zealand,1977,0.00
New Zealand,1978,0.00
New Zealand,1979,0.00
New Zealand,1980,0.00
New Zealand,1981,0.00
New Zealand,1982,0.00
New Zealand,1983,0.00
New Zealand,1984,0.00
New Zealand,1985,0.00
New Zealand,1986,0.00
New Zealand,1987,0.00
New Zealand,1988,38.00
New Zealand,1989,38.00
New Zealand,1990,38.00
New Zealand,1991,38.00
New Zealand,1992,38.00
New Zealand,1993,38.00
New Zealand,1994,38.00
New Zealand,1995,38.00
New Zealand,1996,38.00
New Zealand,1997,38.00
New Zealand,1998,38.00
New Zealand,1999,38.00
New Zealand,2000,38.00
New Zealand,2001,38.00
New Zealand,2002,38.00
New Zealand,2003,40.00
New Zealand,2004,40.00
New Zealand,2005,39.00
New Zealand,2006,39.00
New Zealand,2007,38.00
New Zealand,2008,38.00
New Zealand,2009,38.00
New Zealand,2010,38.00
New Zealand,2011,38.00
New Zealand,2012,38.00
New Zealand,2013,38.00
New Zealand,2014,38.00
New Zealand,2015,36.00
New Zealand,2016,34.00
New Zealand,2017,34.00
New Zealand,2018,34.00
New Zealand,2019,30.00
New Zealand,2020,30.00
New Zealand,2021,26.00
Norway,1970,0.00
Norway,1971,0.00
Norway,1972,0.00
Norway,1973,0.00
Norway,1974,0.00
Norway,1975,0.00
Norway,1976,0.00
Norway,1977,0.00
Norway,1978,12.00
Norway,1979,12.00
Norway,1980,12.00
Norway,1981,12.00
Norway,1982,12.00
Norway,1983,12.00
Norway,1984,12.00
Norway,1985,12.00
Norway,1986,12.00
Norway,1987,14.00
Norway,1988,14.00
Norway,1989,18.00
Norway,1990,22.00
Norway,1991,22.00
Norway,1992,27.00
Norway,1993,29.00
Norway,1994,29.00
Norway,1995,29.00
Norway,1996,29.00
Norway,1997,29.00
Norway,1998,29.00
Norway,1999,29.00
Norway,2000,29.00
Norway,2001,29.00
Norway,2002,29.00
Norway,2003,29.00
Norway,2004,29.00
Norway,2005,29.00
Norway,2006,29.00
Norway,2007,29.00
Norway,2008,29.00
Norway,2009,27.00
Norway,2010,27.00
Norway,2011,26.00
Norway,2012,26.00
Norway,2013,26.00
Norway,2014,18.00
Norway,2015,26.00
Norway,2016,26.00
Norway,2017,26.00
Norway,2018,26.00
Norway,2019,16.00
Norway,2020,16.00
Norway,2021,16.00
Poland,1970,52.00
Poland,1971,52.00
Poland,1972,156.00
Poland,1973,156.00
Poland,1974,156.00
Poland,1975,156.00
Poland,1976,156.00
Poland,1977,156.00
Poland,1978,156.00
Poland,1979,156.00
Poland,1980,156.00
Poland,1981,156.00
Poland,1982,156.00
Poland,1983,156.00
Poland,1984,156.00
Poland,1985,156.00
Poland,1986,156.00
Poland,1987,156.00
Poland,1988,156.00
Poland,1989,156.00
Poland,1990,156.00
Poland,1991,156.00
Poland,1992,156.00
Poland,1993,156.00
Poland,1994,156.00
Poland,1995,156.00
Poland,1996,156.00
Poland,1997,156.00
Poland,1998,156.00
Poland,1999,156.00
Poland,2000,156.00
Poland,2001,156.00
Poland,2002,156.00
Poland,2003,156.00
Poland,2004,156.00
Poland,2005,156.00
Poland,2006,156.00
Poland,2007,156.00
Poland,2008,156.00
Poland,2009,156.00
Poland,2010,156.00
Poland,2011,156.00
Poland,2012,156.00
Poland,2013,182.00
Poland,2014,177.67
Poland,2015,177.67
Poland,2016,183.67
Poland,2017,183.67
Poland,2018,183.67
Poland,2019,183.67
Poland,2020,183.67
Poland,2021,183.67
Portugal,1970,0.00
Portugal,1971,0.00
Portugal,1972,0.00
Portugal,1973,0.00
Portugal,1974,0.00
Portugal,1975,0.00
Portugal,1976,0.00
Portugal,1977,0.00
Portugal,1978,0.00
Portugal,1979,0.00
Portugal,1980,0.00
Portugal,1981,0.00
Portugal,1982,0.00
Portugal,1983,0.00
Portugal,1984,0.00
Portugal,1985,0.00
Portugal,1986,0.00
Portugal,1987,0.00
Portugal,1988,0.00
Portugal,1989,0.00
Portugal,1990,0.00
Portugal,1991,0.00
Portugal,1992,0.00
Portugal,1993,0.00
Portugal,1994,0.00
Portugal,1995,0.00
Portugal,1996,0.00
Portugal,1997,0.00
Portugal,1998,0.00
Portugal,1999,0.00
Portugal,2000,13.00
Portugal,2001,13.00
Portugal,2002,13.00
Portugal,2003,13.00
Portugal,2004,13.00
Portugal,2005,13.00
Portugal,2006,13.00
Portugal,2007,13.00
Portugal,2008,13.00
Portugal,2009,23.72
Portugal,2010,23.72
Portugal,2011,23.72
Portugal,2012,23.72
Portugal,2013,23.72
Portugal,2014,23.72
Portugal,2015,24.14
Portugal,2016,24.14
Portugal,2017,24.14
Portugal,2018,24.14
Portugal,2019,24.14
Portugal,2020,24.14
Portugal,2021,24.14
Slovak Republic,1970,86.00
Slovak Republic,1971,86.00
Slovak Republic,1972,86.00
Slovak Republic,1973,86.00
Slovak Republic,1974,86.00
Slovak Republic,1975,86.00
Slovak Republic,1976,86.00
Slovak Republic,1977,86.00
Slovak Republic,1978,86.00
Slovak Republic,1979,86.00
Slovak Republic,1980,86.00
Slovak Republic,1981,86.00
Slovak Republic,1982,86.00
Slovak Republic,1983,86.00
Slovak Republic,1984,86.00
Slovak Republic,1985,86.00
Slovak Republic,1986,86.00
Slovak Republic,1987,86.00
Slovak Republic,1988,134.00
Slovak Republic,1989,134.00
Slovak Republic,1990,134.00
Slovak Republic,1991,134.00
Slovak Republic,1992,134.00
Slovak Republic,1993,136.00
Slovak Republic,1994,136.00
Slovak Republic,1995,136.00
Slovak Republic,1996,136.00
Slovak Republic,1997,136.00
Slovak Republic,1998,136.00
Slovak Republic,1999,136.00
Slovak Republic,2000,136.00
Slovak Republic,2001,136.00
Slovak Republic,2002,136.00
Slovak Republic,2003,136.00
Slovak Republic,2004,136.00
Slovak Republic,2005,136.00
Slovak Republic,2006,136.00
Slovak Republic,2007,136.00
Slovak Republic,2008,136.00
Slovak Republic,2009,136.00
Slovak Republic,2010,136.00
Slovak Republic,2011,130.00
Slovak Republic,2012,130.00
Slovak Republic,2013,130.00
Slovak Republic,2014,130.00
Slovak Republic,2015,130.00
Slovak Republic,2016,130.00
Slovak Republic,2017,130.00
Slovak Republic,2018,130.00
Slovak Republic,2019,130.00
Slovak Republic,2020,130.00
Slovak Republic,2021,130.00
Slovenia,1970,..
Slovenia,1971,..
Slovenia,1972,..
Slovenia,1973,..
Slovenia,1974,..
Slovenia,1975,..
Slovenia,1976,..
Slovenia,1977,..
Slovenia,1978,..
Slovenia,1979,..
Slovenia,1980,..
Slovenia,1981,..
Slovenia,1982,..
Slovenia,1983,..
Slovenia,1984,..
Slovenia,1985,..
Slovenia,1986,..
Slovenia,1987,..
Slovenia,1988,..
Slovenia,1989,..
Slovenia,1990,..
Slovenia,1991,..
Slovenia,1992,..
Slovenia,1993,..
Slovenia,1994,..
Slovenia,1995,..
Slovenia,1996,..
Slovenia,1997,..
Slovenia,1998,..
Slovenia,1999,..
Slovenia,2000,..
Slovenia,2001,..
Slovenia,2002,..
Slovenia,2003,..
Slovenia,2004,..
Slovenia,2005,..
Slovenia,2006,..
Slovenia,2007,..
Slovenia,2008,..
Slovenia,2009,..
Slovenia,2010,..
Slovenia,2011,..
Slovenia,2012,..
Slovenia,2013,..
Slovenia,2014,37.14
Slovenia,2015,37.14
Slovenia,2016,37.14
Slovenia,2017,37.14
Slovenia,2018,37.14
Slovenia,2019,37.14
Slovenia,2020,37.14
Slovenia,2021,37.14
Spain,1970,0.00
Spain,1971,0.00
Spain,1972,0.00
Spain,1973,0.00
Spain,1974,0.00
Spain,1975,0.00
Spain,1976,0.00
Spain,1977,0.00
Spain,1978,0.00
Spain,1979,0.00
Spain,1980,0.00
Spain,1981,0.00
Spain,1982,0.00
Spain,1983,0.00
Spain,1984,0.00
Spain,1985,0.00
Spain,1986,0.00
Spain,1987,0.00
Spain,1988,0.00
Spain,1989,46.00
Spain,1990,46.00
Spain,1991,46.00
Spain,1992,46.00
Spain,1993,46.00
Spain,1994,46.00
Spain,1995,46.00
Spain,1996,46.00
Spain,1997,46.00
Spain,1998,46.00
Spain,1999,46.00
Spain,2000,46.00
Spain,2001,46.00
Spain,2002,46.00
Spain,2003,46.00
Spain,2004,46.00
Spain,2005,46.00
Spain,2006,46.00
Spain,2007,46.00
Spain,2008,46.00
Spain,2009,46.00
Spain,2010,46.00
Spain,2011,46.00
Spain,2012,46.00
Spain,2013,46.00
Spain,2014,46.00
Spain,2015,46.00
Spain,2016,46.00
Spain,2017,46.00
Spain,2018,46.00
Spain,2019,46.00
Spain,2020,46.00
Spain,2021,46.00
Sweden,1970,0.00
Sweden,1971,0.00
Sweden,1972,0.00
Sweden,1973,0.00
Sweden,1974,26.00
Sweden,1975,30.00
Sweden,1976,30.00
Sweden,1977,30.00
Sweden,1978,78.00
Sweden,1979,78.00
Sweden,1980,78.00
Sweden,1981,78.00
Sweden,1982,78.00
Sweden,1983,78.00
Sweden,1984,78.00
Sweden,1985,78.00
Sweden,1986,78.00
Sweden,1987,78.00
Sweden,1988,78.00
Sweden,1989,78.00
Sweden,1990,78.00
Sweden,1991,78.00
Sweden,1992,78.00
Sweden,1993,78.00
Sweden,1994,78.00
Sweden,1995,73.71
Sweden,1996,73.71
Sweden,1997,73.71
Sweden,1998,73.71
Sweden,1999,73.71
Sweden,2000,73.71
Sweden,2001,73.71
Sweden,2002,69.43
Sweden,2003,69.43
Sweden,2004,69.43
Sweden,2005,69.43
Sweden,2006,69.43
Sweden,2007,69.43
Sweden,2008,69.43
Sweden,2009,69.43
Sweden,2010,69.43
Sweden,2011,69.43
Sweden,2012,69.43
Sweden,2013,69.43
Sweden,2014,69.43
Sweden,2015,69.43
Sweden,2016,65.14
Sweden,2017,65.14
Sweden,2018,65.14
Sweden,2019,65.14
Sweden,2020,65.14
Sweden,2021,65.14
Switzerland,1970,0.00
Switzerland,1971,0.00
Switzerland,1972,0.00
Switzerland,1973,0.00
Switzerland,1974,0.00
Switzerland,1975,0.00
Switzerland,1976,0.00
Switzerland,1977,0.00
Switzerland,1978,0.00
Switzerland,1979,0.00
Switzerland,1980,0.00
Switzerland,1981,0.00
Switzerland,1982,0.00
Switzerland,1983,0.00
Switzerland,1984,0.00
Switzerland,1985,0.00
Switzerland,1986,0.00
Switzerland,1987,0.00
Switzerland,1988,0.00
Switzerland,1989,0.00
Switzerland,1990,0.00
Switzerland,1991,0.00
Switzerland,1992,0.00
Switzerland,1993,0.00
Switzerland,1994,0.00
Switzerland,1995,0.00
Switzerland,1996,0.00
Switzerland,1997,0.00
Switzerland,1998,0.00
Switzerland,1999,0.00
Switzerland,2000,0.00
Switzerland,2001,0.00
Switzerland,2002,0.00
Switzerland,2003,0.00
Switzerland,2004,0.00
Switzerland,2005,0.00
Switzerland,2006,0.00
Switzerland,2007,0.00
Switzerland,2008,0.00
Switzerland,2009,0.00
Switzerland,2010,0.00
Switzerland,2011,0.00
Switzerland,2012,0.00
Switzerland,2013,0.00
Switzerland,2014,0.00
Switzerland,2015,0.00
Switzerland,2016,0.00
Switzerland,2017,0.00
Switzerland,2018,0.00
Switzerland,2019,0.00
Switzerland,2020,0.00
Switzerland,2021,0.00
Turkey,1970,0.00
Turkey,1971,0.00
Turkey,1972,0.00
Turkey,1973,0.00
Turkey,1974,0.00
Turkey,1975,0.00
Turkey,1976,0.00
Turkey,1977,0.00
Turkey,1978,0.00
Turkey,1979,0.00
Turkey,1980,0.00
Turkey,1981,0.00
Turkey,1982,0.00
Turkey,1983,0.00
Turkey,1984,26.00
Turkey,1985,26.00
Turkey,1986,26.00
Turkey,1987,26.00
Turkey,1988,26.00
Turkey,1989,26.00
Turkey,1990,26.00
Turkey,1991,26.00
Turkey,1992,26.00
Turkey,1993,26.00
Turkey,1994,26.00
Turkey,1995,26.00
Turkey,1996,26.00
Turkey,1997,26.00
Turkey,1998,26.00
Turkey,1999,26.00
Turkey,2000,26.00
Turkey,2001,26.00
Turkey,2002,26.00
Turkey,2003,26.00
Turkey,2004,26.00
Turkey,2005,26.00
Turkey,2006,26.00
Turkey,2007,26.00
Turkey,2008,26.00
Turkey,2009,26.00
Turkey,2010,26.00
Turkey,2011,26.00
Turkey,2012,26.00
Turkey,2013,26.00
Turkey,2014,26.00
Turkey,2015,26.00
Turkey,2016,26.00
Turkey,2017,26.00
Turkey,2018,26.00
Turkey,2019,26.00
Turkey,2020,26.00
Turkey,2021,26.00
United Kingdom,1970,0.00
United Kingdom,1971,0.00
United Kingdom,1972,0.00
United Kingdom,1973,0.00
United Kingdom,1974,0.00
United Kingdom,1975,0.00
United Kingdom,1976,0.00
United Kingdom,1977,0.00
United Kingdom,1978,0.00
United Kingdom,1979,0.00
United Kingdom,1980,0.00
United Kingdom,1981,0.00
United Kingdom,1982,0.00
United Kingdom,1983,0.00
United Kingdom,1984,0.00
United Kingdom,1985,0.00
United Kingdom,1986,0.00
United Kingdom,1987,0.00
United Kingdom,1988,0.00
United Kingdom,1989,0.00
United Kingdom,1990,0.00
United Kingdom,1991,0.00
United Kingdom,1992,0.00
United Kingdom,1993,0.00
United Kingdom,1994,0.00
United Kingdom,1995,0.00
United Kingdom,1996,0.00
United Kingdom,1997,0.00
United Kingdom,1998,0.00
United Kingdom,1999,0.00
United Kingdom,2000,13.00
United Kingdom,2001,13.00
United Kingdom,2002,13.00
United Kingdom,2003,13.00
United Kingdom,2004,13.00
United Kingdom,2005,13.00
United Kingdom,2006,13.00
United Kingdom,2007,13.00
United Kingdom,2008,13.00
United Kingdom,2009,13.00
United Kingdom,2010,13.00
United Kingdom,2011,13.00
United Kingdom,2012,13.00
United Kingdom,2013,18.00
United Kingdom,2014,18.00
United Kingdom,2015,18.00
United Kingdom,2016,18.00
United Kingdom,2017,18.00
United Kingdom,2018,18.00
United Kingdom,2019,18.00
United Kingdom,2020,18.00
United Kingdom,2021,18.00
United States,1970,0.00
United States,1971,0.00
United States,1972,0.00
United States,1973,0.00
United States,1974,0.00
United States,1975,0.00
United States,1976,0.00
United States,1977,0.00
United States,1978,0.00
United States,1979,0.00
United States,1980,0.00
United States,1981,0.00
United States,1982,0.00
United States,1983,0.00
United States,1984,0.00
United States,1985,0.00
United States,1986,0.00
United States,1987,0.00
United States,1988,0.00
United States,1989,0.00
United States,1990,0.00
United States,1991,0.00
United States,1992,0.00
United States,1993,0.00
United States,1994,12.00
United States,1995,12.00
United States,1996,12.00
United States,1997,12.00
United States,1998,12.00
United States,1999,12.00
United States,2000,12.00
United States,2001,12.00
United States,2002,12.00
United States,2003,12.00
United States,2004,12.00
United States,2005,12.00
United States,2006,12.00
United States,2007,12.00
United States,2008,12.00
United States,2009,12.00
United States,2010,12.00
United States,2011,12.00
United States,2012,12.00
United States,2013,12.00
United States,2014,12.00
United States,2015,12.00
United States,2016,12.00
United States,2017,12.00
United States,2018,12.00
United States,2019,12.00
United States,2020,12.00
United States,2021,12.00